idbrand;brand_name
401;pulp-orange
402;tournolive
403;hollywood
404;gallia
405;claude-leger
406;naturnes
407;united-biscuits-france-sas
408;guigoz
409;psp
410;paris-store
411;nestle-dessert
412;tablettes
413;tablette-d-or
414;leclerc
415;la-vosgienne
416;alsa
417;danette
418;saveurs-d-ailleurs
419;les-paysans-de-rougeline
420;lobodis
421;sojasun
422;calzado
423;soria-naturalsoria-natural-s-a
424;prima
425;tamarindo
426;simply-greek
427;florette
428;primaflor
429;hacendado
430;zapetti
431;don-simon
432;lotus
433;alipende
434;emperatriz
435;intermon-oxfam
436;mmm
437;pure-via
438;lescure
439;helios
440;paysan-breton
441;daveiga
442;minerve
443;lay-s
444;ocean-spray
445;the-coca-cola-company
446;terre-de-crete
447;arnaud-gillet
448;el-granero-integral
449;rene-neymann
450;sanita
451;celebrations
452;algamar
453;integral-artesans
454;natursoy
455;ahimsa
456;la-finestra-sul-cielo
457;pouce
458;cesar-moroni
459;sondey
460;gilbert-baradat
461;candia
462;candy-up
463;vergers-du-sud
464;benenuts
465;bio-planete
466;match
467;ivoria
468;jardin-bio
469;lea-nature
470;pago
471;panrico
472;soywell
473;pulco
474;top-budget
475;frucci
476;le-jambon-d-auch
477;naturefruits
478;dlp-distribution-leader-price
479;nesquik
480;lotus-bakeries-nv
481;fischer
482;creperie-de-langadoue
483;la-ploerinoise
484;les-mouettes-d-arvor
485;casa-pons
486;anitin
487;u-man-cola
488;naturgreen
489;amandin
490;babybio
491;vitagermine
492;hongos-de-la-jara
493;rioverde
494;pepsi
495;franziskaner
496;les-petits-fourneaux
497;saint-louis-sucre
498;saint-louis
499;gullon
500;diet-fibra
501;bio-du-sud
502;fruit-tella
503;perfetti-van-melle
504;kambly
505;biogra
506;vegetalia
507;le-viennois
508;el-horno-de-lena
509;calin
510;le-savoureux
511;allos
512;kanter
513;kanterbrau
514;kronenbourg
515;lactel-eveil
516;tabuenca
517;housediet
518;diethouse
519;coeur-de-lion
520;cf-r
521;extreme
522;jm
523;jm-maitre-patissier
524;tropico
525;solevita
526;findus
527;carte-d-or
528;risi
529;ocean-sea
530;ocean-trader
531;lidl-stiftung-co-kg
532;la-cuisine-d-oceane
533;haudecoeur
534;crespo
535;special-line
536;3-toques
537;mamia
538;tartare
539;garofalo
540;linea-vercher
541;intermarche
542;lesieur
543;monte-oro
544;pastacorp
545;reflets-de-france
546;carretilla
547;regia
548;provamel
549;delizum
550;jafaden
551;croc-legumes
552;rocheval
553;brin-de-jour
554;ecocesta
555;el-dulze
556;lazzaretti
557;gavottes
558;huercasa
559;sereline
560;vitabio
561;poco-loco
562;mannapain
563;bledilait
564;nutriform
565;lysi
566;monte-pietroso
567;mousline
568;tendresse-de-lait
569;delpeyrat
570;conserverie-parmentier
571;knacki
572;paturages
573;shimon-ariche
574;nidal
575;bons-mayennais
576;gerard-bertrand
577;bertrand-pere-fils
578;the-bridge
579;mercader
580;surinver
581;cal-valls
582;eureka
583;clavileno
584;le-tresor-des-dieux
585;verdifresh
586;babybio-junior
587;el-valle-de-madriles
588;talvi
589;hida
590;pascual
591;campofrio
592;armoric
593;saldac
594;celte-et-nature
595;la-pie-qui-chante
596;grand-fermage
597;lanquetot
598;domaine-de-la-balan
599;campbell
600;le-gall
601;belle-france
602;terres-et-cereales-bio
603;destination
604;le-montsurais
605;joseph-favrichon
606;linessa
607;la-bordelaise
608;la-belle-chaurienne
609;fuencampo
610;nergi
611;skippy
612;nissin
613;brossard
614;intersnack
615;fruidor
616;sun
617;gigante-verde
618;aliada
619;kinder-surprise
620;mc-cain
621;mccain
622;source-des-oliviers
623;elephant
624;cock-brand
625;fjord
626;patak-s
627;heudebert
628;thiriet
629;tradilege
630;scamark-filiale-e-leclerc
631;diego
632;chocolates-sole
633;triballat-noyal-s-a-s
634;le-phare-d-eckmuhl
635;alteza
636;mousse-d-or
637;pom-potes
638;petit-navire
639;ebly
640;comptoir-du-grain
641;epi-d-or
642;fine-ligne
643;le-capipontain
644;leader-price-fine-ligne
645;buckler
646;deluxe
647;toque-du-chef
648;senoble
649;pitch
650;vega-tajo
651;supersol
652;tendilla
653;maronsui-s
654;clement-faugier
655;rians
656;gallina-blanca
657;malo
658;ilios
659;les-croises
660;original-knacki
661;dixi
662;envia
663;cereals-partners
664;nature-cie
665;nature-et-aliments
666;nat-ali
667;grandeur-nature
668;guayapi
669;moulin-de-rimou
670;ensemble-pour-plus-de-sens
671;marinoe
672;optimyc
673;isola-bio
674;millenaire
675;artisans-du-monde
676;mielizia
677;pionnier-du-bio
678;acapulco
679;jardin-bio-logique
680;pleyben
681;milbona
682;bio-flan
683;weight-watchers
684;quaker
685;cruesli
686;diemilk
687;capitaine-cook
688;danao
689;el-campanillo
690;gusto-y-sabor
691;garbit
692;turini
693;tendre-croque
694;cote-table
695;cochonou
696;jean-caby
697;mamie-nova
698;muinos
699;stoeffler
700;noisy
701;cuisine-evasion
702;casa-azzurra
703;gervita
704;imperial
705;granovita
706;cidacos
707;e-graindorge
708;graindorge
709;raynal-et-roquelaure
710;tokapi
711;simtom
712;bernard-gaborit
713;amora
714;bledine
715;daunat
716;le-quebecois
717;nature-med
718;nute
719;noiseraie
720;noiseraie-productions
721;graine-d-en-vie
722;perl-amande
723;chocolinette
724;natura-nostra
725;damiano
726;natura-nostra-damiano
727;bovetti
728;jean-herve
729;ma-vie-sans-gluten
730;saf-instant
731;celnat
732;mccormick
733;espig
734;lorenz
735;fruit-d-or-pro-activ
736;marche-franprix
737;franprix
738;valpiform
739;bledina-bledichef
740;eco
741;allergo
742;fun-foods-4-all
743;le-voyage-de-mamabe
744;fiorini
745;printiligne
746;belle-bio
747;obo
748;vrai
749;patisdecor
750;aleter-eco
751;mo-ly
752;el-cantero-de-letur
753;jv
754;la-table-d-adrien-delbos
755;epicurillades
756;atlantic
757;primevere
758;formule-express
759;philippe-vigean
760;morelli
761;distribution-franprix
762;la-bandera
763;le-bio-par-picard
764;masson
765;traou-mad
766;galak
767;carrefour-kids
768;disney
769;leader-price-bio
770;brio
771;brioches-sicard
772;choco-wishes
773;fromagerie-gaugry
774;les-dieux
775;evernat
776;l-etal-du-volailler
777;pierre-schmidt
778;j-favrichon
779;favrichon
780;vivons-bio
781;la-pateliere
782;le-temps-des-saisons
783;ekibio
784;finca-la-nava
785;itineraire-des-saveurs
786;la-sirena
787;biotta
788;suchard
789;snack-day
790;bauli
791;moulin-de-valdonne
792;alpro
793;neymann-s
794;ondine
795;agrilait
796;les-matsots-de-wasselonne
797;les-matsot-de-wasselonne
798;rivoire-carret
799;charal
800;naturemed
801;sacla
802;el-mago-de-los-turrones
803;pom-lisse
804;veloute
805;brillante
806;suquipa
807;phare-d-eckmuhl
808;caraibos
809;domaine-du-bignon
810;virginias
811;lacasa
812;san-enrique
813;la-estepena
814;plantation
815;tic-tac
816;gourmie-s
817;cereadej
818;debardo
819;jean-roze
820;apericube
821;kaoka
822;mao-croqui
823;la-boulangere
824;gutbio
825;westminster
826;jules-destrooper
827;plein-air
828;oeuf-de-nos-villages-odnv
829;porto-muinos
830;solalter
831;pave-d-affinois
832;fromagerie-guilloteau
833;comtesse-du-barry
834;naturfruit
835;caro
836;ricore
837;solevitavitafit
838;carrefour-selection
839;aro
840;fromagerie-de-la-perelle
841;lemancet
842;sodastream
843;el-corte-ingles
844;panzani-les-3-minutes
845;seemd-fontaine-didier
846;airos
847;fleury-michon-sur-le-pouce
848;master-crumble
849;capitaine-nat
850;bicentury
851;euromadi-iberica-s-a
852;p-tit-deli
853;selecta
854;la-cocinera
855;d-equilibre
856;vivani
857;bioporc
858;e-leclerc
859;la-foire-aux-fromages-normands
860;el-cultivador
861;twibio
862;nespresso
863;elite-naturel
864;juic
865;domaine-des-terres-rouges
866;evrafish
867;valor
868;matines
869;tagine
870;albert-menes
871;verolus
872;nutrition-sante-iberia-s-l
873;nutrition-sante-s-a-s
874;otsuka-pharmaceutical-co-ltd
875;otsuka-holdings-co-ltd
876;naturalia
877;les-crudettes
878;douceur-du-verger
879;lucien-georgelin
880;sojami
881;saveurs-de-nos-regions
882;emile-noel
883;vinawang
884;l-etal-du-boucher
885;caoni
886;brezain
887;comptoir-du-caviar
888;happybio
889;u-bio
890;u-saveurs
891;creole-fac-ile
892;creole-facile
893;coudene
894;whaou
895;bisson
896;ensemble
897;algoplus
898;les-algues-gastronomiques
899;kikkoman
900;s-b
901;twinuts
902;les-malins-plaisirs
903;pur-fruit
904;grany
905;wrigley
906;taiwan-dessert
907;benedicta
908;la-baleine
909;lion
910;canderel
911;helior
912;gardent-gourmet
913;fruima
914;eckes-granini
915;ker-ronan
916;petit-navire-donini-collezione
917;crusti-croc
918;iglo
919;maison-vital-aine
920;patigel
921;delifrance
922;bonduelle
923;maille
924;milsani
925;aldi-einkauf-gmbh-compagnie-ohg
926;yabon
927;teisseire
928;lorina
929;lou-perac
930;tendriade
931;mes-p-tits-secrets
932;biscuits-poult
933;nikita
934;mcvitie-s
935;united-biscuits
936;claviere
937;vitafit
938;la-pointe-de-penmarc-h
939;gerlinea
940;le-petit-basque
941;laqueuille
942;les-sauniers-de-l-ile-de-re
943;harry-s
944;rik-rok
945;charles-christ
946;chorba
947;royal-champignon
948;manosque
949;wrigley-s
950;freedent
951;azienda-agricola-principato-di-lucedio
952;candia-grandlait
953;dentamaro
954;les-jardins-de-gaia
955;oeufs-du-moulin
956;cereline
957;phoenix
958;le-jardin-d-orante
959;marc-veyrat
960;imuraya
961;airwaves
962;la-sablesienne
963;la-buona-terra
964;banania
965;pasztet
966;crunch
967;cereal-partners
968;mont-blanc
969;pleine-forme
970;ikea
971;sodial
972;mentos
973;fraich-up
974;rochefontaine
975;bien
976;bio-soleil
977;sans-nom
978;le-clos-st-jacques
979;fermier-argoat
980;belma
981;gastronomia-di-angelo
982;demeter
983;prefere-d-amandine
984;wasa
985;snack-now
986;jean-larnaudie
987;larnaudie
988;nestle-grand-chocolat
989;petit-billy
990;triballat-noyal
991;lincet
992;didier-lincet
993;rachel-s
994;jacquot
995;pasta-box
996;pastabox
997;coraya
998;etrez
999;angostura
1000;alpina
1001;chene-d-argent
1002;producteur-commercant
1003;les-creations
1004;menier
1005;ficello
1006;president-professionnel
1007;les-p-tits-chefs-du-bio
1008;rostain
1009;bernard-michaud
1010;miel-l-apiculteur
1011;la-lorientaise
1012;feel-free
1013;tassimo
1014;twinings
1015;monini
1016;aix
1017;witor-s
1018;doucelune
1019;artisans-et-talents
1020;artisans-et-talents-au-service-des-boulangers-et-patissiers
1021;sibell
1022;elodie
1023;casa-ramon
1024;larsen
1025;salaisons-des-beliers
1026;l-escargot-parisien-courbeyre-viallard
1027;crunchips
1028;la-ciota
1029;st-hubert
1030;st-hubert-omega-3
1031;fitness
1032;riegelein
1033;frederic-chocolatier
1034;bio-nat
1035;les-fruitieres-des-bornes
1036;baiko
1037;santiveri
1038;suzi-wan
1039;cochonou-court
1040;la-perruche
1041;sylphide
1042;la-boulangere-bio
1043;parmacotto
1044;fromagerie-de-la-vie
1045;johnsonville
1046;milhau
1047;fauchon
1048;senseo
1049;maison-du-cafe
1050;charles-alice
1051;blediner
1052;ferme-d-anchin
1053;fete-maison
1054;gartal
1055;levasseur
1056;sveltesse
1057;la-fermiere
1058;pelforth
1059;perlfort
1060;alsace-lait
1061;sati
1062;la-fromagerie-du-maine
1063;la-chevrerie
1064;ra
1065;tresor
1066;gourmand
1067;casino-bien-pour-vous
1068;madrange
1069;carr-s
1070;agir-carrefour
1071;p-tit-delimarque-repere
1072;vihuongto
1073;amsterdam
1074;asahibeer
1075;asahi-france
1076;pepperidge-farm
1077;panavi
1078;tous-les-jours
1079;pays-de-guadeloupe
1080;kuhne
1081;saradis
1082;ngoc-yen
1083;abbaye-de-sept-fons
1084;les-confituriers-de-haute-provence
1085;lindt-sprungli
1086;united-biscuits-france
1087;cocktails-du-monde
1088;confipote
1089;aperifruits
1090;twinings-of-london
